control_id,family,statement,priority,nist_800_53,pci_dss,iso_27001,cmmc
AC-1,Access Control,"Access control rules are written down, approved, and told to everyone. If you cannot point to the document that says how access works, you do not have",High,AC-1
AC-2,Access Control,"Every account has an approved request, named owner, defined access level, and current JML record.",High,AC-2
AC-3,Access Control,All access is enforced through approved authentication and authorization controls. Local or static credentials cannot bypass them.,High,AC-3
AC-4,Access Control,"Users, administrators, services, and vendors receive only the access needed for their role. Privileged access is time-bound and recorded.",High,AC-4
AC-5,Access Control,"Failed login attempts are limited (≤10 before lockout), lockouts are enforced, and brute-force alerts are configured.",High,AC-5
AC-6,Access Control,"Remote access uses approved gateways, MFA for every connection, and session logging. Direct internet-exposed remote protocols are prohibited.",High,AC-6
AC-7,Access Control,"Mobile and BYOD access is allowed only when the device is enrolled, compliant, and managed.",High,AC-7
AU-1,Audit/Accountability,"Every system sends security, authentication, and administrative events to a centralized log platform. No system operates without logging.",High,AU-1
AU-2,Audit/Accountability,Security logs are reviewed daily. Alerts are investigated and closed within SLA.,High,AU-2
AU-3,Audit/Accountability,Audit logs are protected from modification or deletion. Admin changes to logging are also logged.,High,AU-3
AU-4,Audit/Accountability,"Audit logs retained 12 months hot, 7 years cold. You can retrieve a log from 13 months ago within 24 hours.",High,AU-4
CM-1,Configuration Mgmt,Every system configured to DISH baseline before production. Maintained against it.,High,CM-1
CM-2,Configuration Mgmt,"All production changes authorized, documented, tested. No change without a ticket.",High,CM-2
CM-3,Configuration Mgmt,"Configuration drift from the approved baseline is detected, flagged, and remediated.",High,CM-3
CM-4,Configuration Mgmt,"Every hardware, software, cloud resource, and network device is recorded in an authoritative inventory.",High,CM-4
CP-1,Contingency Planning,Daily automated backups. Immutable storage. Annual restore test.,High,CP-1
CP-2,Contingency Planning,Recovery procedures documented and tested annually.,High,CP-2
IA-1,Identification/Auth,All interactive human access requires phishing-resistant MFA. Legacy auth disabled.,High,IA-1
IA-2,Identification/Auth,Minimum 12-character passwords. No periodic password changes (NIST says stop this). Banned password list enabled.,High,IA-2
IA-3,Identification/Auth,Non-human identities are managed with the same rigor as human accounts. Secrets stored in a vault.,High,IA-3
RA-1,Risk Assessment,"Risks are documented in a risk register, scored, assigned to an owner, and treated.",High,RA-1
RA-2,Risk Assessment,All systems scanned for vulnerabilities on a defined schedule. Findings tracked to remediation.,High,RA-2
RA-3,Risk Assessment,Critical vulnerabilities patched within 7 days. High within 30 days. Deferred patches documented.,High,RA-3
SI-1,System/Information Integrity,EDR on every endpoint and server. Automatic updates. Behavioral detection (not just signatures).,High,SI-1
SI-2,System/Information Integrity,Critical system files monitored for unauthorized changes.,High,SI-2
SI-3,System/Information Integrity,DMARC/SPF/DKIF configured. Anti-phishing tool deployed. Phishing simulations quarterly.,High,SI-3
SR-1,Supply Chain Risk,Every vendor with access to organizational data or systems is assessed for security risk before onboarding and annually thereafter.,High,SR-1
SR-2,Supply Chain Risk,Software and hardware acquired from third parties is assessed for supply chain integrity.,High,SR-2
SC-1,System/Comms Protection,Networks segmented into security zones. Traffic between zones explicitly approved.,High,SC-1
SC-2,System/Comms Protection,Sensitive data and admin traffic encrypted in transit. TLS 1.2+.,High,SC-2
SC-3,System/Comms Protection,Sensitive data at rest is encrypted using approved methods. Disk encryption alone is insufficient for regulated data — it must be combined with column,High,SC-3
CA-1,Security Assessment,Controls are assessed annually for design and operating effectiveness. Findings are tracked to closure.,High,CA-1
AT-1,Awareness/Training,All personnel complete role-appropriate security training before access and annually thereafter.,High,AT-1
IR-1,Incident Response,"A documented incident response plan exists, is tested annually, and is accessible to all response team members.",High,IR-1
